Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Position,Footed,Height,Weight,Wages
Tottenham,Davinson Sanchez,COL,DF,27.0,1.0,0.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,DF,Right,188.0,77.0,"￡ 65,000"
Tottenham,Radu Dragusin,ROU,"DF,MF",22.0,4.0,0.0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DF,Right,191.0,79.0,"€ 17,885"
Tottenham,Alejo Veliz,ARG,FW,20.0,8.0,0.0,50.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,F,unknown,182.1,73.7,0
Tottenham,Jamie Donley,ENG,FW,19.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Tottenham,Dane Scarlett,ENG,FW,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Right,180.0,76.0,0
Tottenham,Brandon Austin,ENG,GK,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,188.0,82.0,"￡ 7,500"
Tottenham,Alfie Dorrington,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Tottenham,Fraser Forster,ENG,GK,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,201.0,92.0,"￡ 75,000"
Tottenham,Ashley Phillips,WAL,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,unknown,182.1,73.7,0
Tottenham,Yago Santiago,ESP,"FW,MF",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Andre Onana,CMR,GK,27.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,GK,Right,182.1,73.7,"￡ 120,000"
Manchester,Bruno Fernandes,POR,"MF,FW",29.0,27.0,27.0,2430.0,27.0,4.0,6.0,10.0,2.0,2.0,3.0,8.0,0.0,7.2,4.9,8.2,13.1,FW-MF,Right,173.0,64.0,"￡ 240,000"
Manchester,Diogo Dalot,POR,DF,24.0,26.0,25.0,2274.0,25.3,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.9,2.7,DF,Right,184.0,76.0,"￡ 85,000"
Manchester,Marcus Rashford,ENG,FW,26.0,27.0,23.0,1988.0,22.1,7.0,2.0,9.0,5.0,2.0,2.0,2.0,0.0,7.1,5.5,2.2,7.7,FW-MF,Right,180.0,69.0,"￡ 300,000"
Manchester,Alejandro Garnacho,ARG,FW,19.0,26.0,20.0,1767.0,19.6,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,5.7,5.6,4.5,10.1,FW-M,unknown,180.0,79.0,0
Manchester,Rasmus Hojlund,DEN,FW,21.0,20.0,17.0,1465.0,16.3,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,6.5,6.5,1.1,7.6,F,unknown,192.0,73.7,"￡ 85,000"
Manchester,Casemiro,BRA,MF,32.0,15.0,15.0,1177.0,13.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.4,2.4,0.6,3.0,MF,Right,184.0,79.0,"￡ 350,000"
Manchester,Scott Mctominay,SCO,"MF,FW",27.0,25.0,14.0,1473.0,16.4,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,5.1,5.1,0.7,5.8,MF,Right,192.0,84.0,"￡ 60,000"
